"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"10",2020,"19",82,"Dusk","Cloudy","Main","3",18.2,"South",7,"Estimated",7,10083,"Not Signaled","Direct Train Control",0,0,"No",0,3,0,0,0,0,74,0,11,0,0,1,0,0,1,1,1,24,24,30.007146,-97.162918,"3","CL","Class 1","SMT-6 - UP/KCS",12403,11755,24158,24158,"No"
"12",2022,"23",56,"Dark","Rain","Main","3",15.8,"North",29,"Recorded",29,12014,"Signaled","Signal Indication",0,0,"No",0,2,0,0,1,0,97,0,77,0,0,1,0,0,1,10,10,30,30,33.775452,-96.619039,"3","CL","Class 1","SMT-6 - UP/KCS",11493,87538,99031,99031,"No"
"06",2019,"4",71,"Dawn","Rain","Main","4",41,"South",7,"Recorded",7,18205,"Signaled","Signal Indication",0,0,"No",2,3,0,0,0,2,129,0,27,0,0,1,0,0,1,11,11,40,40,30.567489,-97.405886,"4","CL","Class 1","SMT-6 - UP/KCS",289450,211875,501325,501325,"No"
"11",2022,"0",53,"Dark","Clear","Main","5",19.7,"East",8,"Estimated",8,2596,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,3,0,66,0,0,1,0,1,1,2,2,11,11,31.738096,-106.370813,"5","CL","Class 1","SMT-6 - UP/KCS",15231,37945,139977,53176,"No"
"08",2019,"21",93,"Dark","Clear","Main","1",26.1,"North",8,"Recorded",8,7273,"Signaled","Signal Indication",0,0,"No",0,5,0,0,0,0,47,0,44,0,0,1,0,0,1,1,1,29,29,29.389785,-98.541584,"1","CL","Class 1","SMT-6 - UP/KCS",309445,315890,625335,625335,"No"
"01",2019,"0",53,"Dark","Clear","Main","2",64,"North",3,"Estimated",3,17499,"Signaled","Signal Indication",0,0,"No",0,5,0,0,0,0,122,0,49,0,0,1,0,0,1,6,7,10,10,29.754705,-95.302403,"2","CL","Class 1","SMT-6 - UP/KCS",24768,50712,75480,75480,"No"
"08",2017,"8",81,"Day","Clear","Main","1",32.2,"South",5,"Estimated",5,9979,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,3,0,0,0,0,84,0,0,0,0,1,0,0,2,1,11,15,35,30.883005,-96.595482,"1","CL","Class 1","SMT-6 - UP/KCS",10000,8521,18521,18521,"No"
"07",2022,"13",92,"Day","Clear","Main","3",28.4,"South",28,"Estimated",28,18793,"Signaled","Signal Indication",0,0,"No",66,4,0,0,0,0,109,0,160,0,0,1,0,0,1,6,6,31,31,30.468481,-96.72721,"3","CL","Class 1","SMT-6 - UP/KCS",45615,7260,52875,52875,"No"
"09",2017,"11",91,"Day","Clear","Main","4",43.3,"South",0,"Estimated",14,14756,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,1,113,0,0,0,0,1,0,0,1,5,5,10,10,30.986681,-97.273469,"4","CL","Class 1","SMT-5 - BNSF",13000,0,179319,13000,"No"
"03",2021,"3",60,"Dark","Cloudy","Main","3",96.6,"North",27,"Recorded",27,11300,"Signaled","Signal Indication",0,0,"No",36,5,0,1,0,0,74,0,56,0,0,1,0,0,1,3,3,16,16,36.244176,-86.724965,"3","CL","Class 1","SMT-9 - CSX",650651,0,1379358,650651,"No"
"03",2017,"13",72,"Day","Clear","Main","2",650000,"North",22,"Recorded",22,3750,"Not Signaled","Direct Train Control",0,0,"No",0,3,0,0,0,0,27,0,8,0,0,1,0,0,1,3,3,40,40,34.694592,-82.225163,"2","Cl","Class 3","SMT-2 - Short Line East",41500,400,41900,41900,"No"
