"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2020,"0",73,"Dark","Clear","Main","4",47.22,"South",40,"Estimated",40,14840,"Signaled","Signal Indication","No",0,2,0,0,0,1,105,0,0,0,0,1,0,0,1,31.003134,-97.290319,"4","CL","Class 1","SMT-5 - BNSF",3206712,"No","No","Summer"
2017,"15",76,"Day","Clear","Main","3",27,"East",7,"Estimated",7,2577,"Signaled","Signal Indication","No",1,3,0,0,0,0,0,0,72,0,0,1,0,0,1,27.51059,-99.250446,"3","CL","Class 1","SMT-6 - UP/KCS",18147,"No","No","Winter"
2014,"21",49,"Dark","Un-Clear","Main","4",52.9,"South",18,"Recorded",18,16105,"Signaled","Signal Indication","No",0,2,0,0,2,0,113,0,0,0,0,1,0,0,1,31.278931,-96.636963,"4","CL","Class 1","SMT-6 - UP/KCS",1518128,"No","Yes","Spring"
2014,"21",49,"Dark","Un-Clear","Main","4",52.9,"South",0,"Recorded",18,4802,"Signaled","Signal Indication","No",0,2,0,0,0,0,52,0,0,0,0,1,0,0,1,31.278931,-96.636963,"4","CL","Class 1","SMT-6 - UP/KCS",783376,"No","Yes","Spring"
2014,"10",70,"Day","Clear","Main","4",66.7,"North",0,"Estimated",8,2507,"Signaled","Signal Indication","No",0,2,0,0,0,0,0,0,119,0,0,1,0,0,1,30.502013,-96.663848,"4","CL","Class 1","SMT-5 - BNSF",250,"No","No","Fall"
2013,"15",85,"Day","Clear","Main","4",51.58,"South",52,"Recorded",52,5773,"Signaled","Signal Indication","No",44,2,0,0,0,0,42,0,11,0,0,1,0,0,2,29.803669,-96.16039,"4","CL","Class 1","SMT-5 - BNSF",58480,"No","No","Spring"
2013,"14",65,"Day","Un-Clear","Main","4",62.9,"West",0,"Recorded",25,5186,"Signaled","Signal Indication","No",0,3,0,0,0,0,16,0,100,0,0,1,0,0,1,29.884132,-95.088256,"4","CL","Class 1","SMT-6 - UP/KCS",47,"No","No","Winter"
2015,"6",40,"Dark","Un-Clear","Main","5",33.5,"West",6,"Recorded",6,4962,"Signaled","Signal Indication","No",0,4,0,0,0,0,94,0,4,0,0,1,0,0,1,29.408019,-98.510775,"5","CL","Class 1","SMT-6 - UP/KCS",71567,"No","Yes","Winter"
2016,"8",70,"Dark","Clear","Main","5",87.63,"West",33,"Recorded",65,7451,"Signaled","Signal Indication","No",0,5,0,0,0,0,87,0,0,0,0,1,0,0,1,35.360988,-101.334873,"5","CL","Class 1","SMT-5 - BNSF",9430575,"No","No","Spring"
2017,"6",75,"Dark","Clear","Main","3",27,"West",0,"Recorded",14,10852,"Signaled","Signal Indication","No",23,2,0,0,0,0,78,0,17,0,0,1,0,0,1,27.494316,-99.345661,"3","CL","Class 1","SMT-6 - UP/KCS",123751,"No","No","Summer"
